NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
24884648,leak or perforated visible at weldment ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement using bonlok
24884598,leak or perforated visible at weldment ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement using bonlok
24884593,leak or perforated visible at weldment ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement using bonlok
24884540,leak or perforated visible at weldment ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement using bonlok
24884535,leak or perforated visible at weldment ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement using bonlok
25051047,no isolation kit on dissimilar flange connection heavy oil contamination with suspected leak at flange connection ,1,to be rectified,revise,to be repaired/ replaced,verify if line is still in use. perform cleaning to as certain source of leak. if leak from flange gasket repair gaskets and bolts. if leak from valve replace dbb valve
25051047,no isolation kit on dissimilar flange connection heavy oil contamination with suspected leak at flange connection ,1,to be rectified,revise,to be repaired/ replaced,verify if line is still in use. perform cleaning to as certain source of leak. if leak from flange gasket repair gaskets and bolts. if leak from valve replace dbb valve
25051047,no isolation kit on dissimilar flange connection heavy oil contamination with suspected leak at flange connection ,1,to be rectified,revise,to be repaired/ replaced,verify if line is still in use. perform cleaning to as certain source of leak. if leak from flange gasket repair gaskets and bolts. if leak from valve replace dbb valve
